docId,workerId,assignmentId,time,trecScore,workerScore,trecBinaryScore,workerBinaryScore,Agree 1,Agree 0,Disagree 1/0,Disagree 0/1,,,Confusion Matrix,,
MARCO_3090847,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD7627LZ6AU,118000,4,4,1,1,1,0,0,0,,,,,
MARCO_8530114,A1IBKP5PBH5EHC,3XM0HYN6NPFL5RMOU5BTFQNAN5QEP6,93000,2,1,1,0,0,0,1,0,,,,,
MARCO_8554836,A1IBKP5PBH5EHC,3XM0HYN6NPFL5RMOU5BTFQNAN5QEP6,93000,1,0,0,0,0,1,0,0,,,,,
MARCO_8610842,A1IBKP5PBH5EHC,3XM0HYN6NPFL5RMOU5BTFQNAN5QEP6,93000,4,4,1,1,1,0,0,0,,,,,
MARCO_8610846,A1IBKP5PBH5EHC,3XM0HYN6NPFL5RMOU5BTFQNAN5QEP6,93000,1,0,0,0,0,1,0,0,,,,,
MARCO_8637099,A1IBKP5PBH5EHC,3XM0HYN6NPFL5RMOU5BTFQNAN5QEP6,93000,0,0,0,0,0,1,0,0,,,,,
MARCO_5947605,A1IBKP5PBH5EHC,3PDJHANYKAWPFVVL5AKQUTT6KGQH6H,157000,2,0,1,0,0,0,1,0,,,,,
MARCO_5990560,A1IBKP5PBH5EHC,3PDJHANYKAWPFVVL5AKQUTT6KGQH6H,157000,4,4,1,1,1,0,0,0,,,,,
MARCO_6060239,A1IBKP5PBH5EHC,3PDJHANYKAWPFVVL5AKQUTT6KGQH6H,157000,3,4,1,1,1,0,0,0,,,,,
MARCO_6291496,A1IBKP5PBH5EHC,3PDJHANYKAWPFVVL5AKQUTT6KGQH6H,157000,1,0,0,0,0,1,0,0,,,,,
MARCO_6430441,A1IBKP5PBH5EHC,3PDJHANYKAWPFVVL5AKQUTT6KGQH6H,157000,4,1,1,0,0,0,1,0,,,,,
CAR_dbeb8cd6edbddddd97b665073523548470dffe44,A1IBKP5PBH5EHC,3RRCEFRB7RS19VOLMUHFBK6UTCDB48,144000,2,0,1,0,0,0,1,0,,,,,
CAR_eed3d1eb3efc8660a01023593eaf27043ac77111,A1IBKP5PBH5EHC,3RRCEFRB7RS19VOLMUHFBK6UTCDB48,144000,1,0,0,0,0,1,0,0,,,,,
CAR_f1665e72ddfd638bd4e9e936a5dc61cd76ff6037,A1IBKP5PBH5EHC,3RRCEFRB7RS19VOLMUHFBK6UTCDB48,144000,2,0,1,0,0,0,1,0,,,,,
MARCO_1092925,A1IBKP5PBH5EHC,3RRCEFRB7RS19VOLMUHFBK6UTCDB48,144000,3,1,1,0,0,0,1,0,,,,,
MARCO_1092929,A1IBKP5PBH5EHC,3RRCEFRB7RS19VOLMUHFBK6UTCDB48,144000,3,0,1,0,0,0,1,0,,,,,
CAR_2dc597ac2fc10917a752552bc335e6ac1aedc3f0,A1IBKP5PBH5EHC,3XC1O3LBOX2X3PPNS87HXVERL5CLT5,81000,0,0,0,0,0,1,0,0,,,,,
CAR_393cb4e18a9d30018e843c4d37c564272ec5fa6f,A1IBKP5PBH5EHC,3XC1O3LBOX2X3PPNS87HXVERL5CLT5,81000,0,0,0,0,0,1,0,0,,,,,
CAR_462db9a569840533b644a7eb3e2557a23ae8204b,A1IBKP5PBH5EHC,3XC1O3LBOX2X3PPNS87HXVERL5CLT5,81000,1,0,0,0,0,1,0,0,,,,,
CAR_4fc9cfd310dfb8eaf3fbfa60723ec5b8072b876d,A1IBKP5PBH5EHC,3XC1O3LBOX2X3PPNS87HXVERL5CLT5,81000,4,3,1,1,1,0,0,0,,,,,
CAR_55a95284bc782f3da5d3651a9c0e6f4df0ba7458,A1IBKP5PBH5EHC,3XC1O3LBOX2X3PPNS87HXVERL5CLT5,81000,0,0,0,0,0,1,0,0,,,,,
,,,sum,289,147,90,33,33,55,57,0,,,,,
