hitId,queryNum,subQueryNum,query,text1,document1,score1,text2,document2,score2,text3,document3,score3,text4,document4,score4,text5,document5,score5
119,31_5,5," What is throat cancer?<br/>Is it treatable?<br/>Tell me about lung cancer.<br/>What are its symptoms? <br/><span>Can it spread to the throat?</span>"," All forms of smoking are linked to these cancers, including cigarettes, cigars, and pipes. Tobacco smoke can cause cancer anywhere in the mouth and throat as well as in the lungs, the bladder, and many other organs in the body. Pipe smoking is particularly linked with lesions of the lips, where the pipe comes in direct contact with the tissue.",MARCO_2231506,1," Throat Cancer. Throat Cancer Symptoms & Signs. Throat cancers may not cause any symptoms if they are very small and have not spread at the time of diagnosis. Sometimes, an area of irritation or discoloration on the lining issues of the throat is the only sign of an abnormality.",MARCO_2231510,0," Side effects of radiation therapy. Patients with lung cancer who receive radiation therapy often experience fatigue and loss of appetite. If radiation therapy is given to the neck or center of the chest, patients may also develop a sore throat and have difficulty swallowing.hemotherapy is often not as effective as radiation therapy or surgery to treat NSCLC that has spread to the brain. For this reason, NSCLC that has spread to the brain is treated with radiation therapy, surgery, or both. Most patients with brain metastases from NSCLC receive radiation therapy to the entire brain.",MARCO_2470804,1," Oral thrush can sometimes spread to the roof of the mouth and the back of the throat. For the majority of us, oral thrush does not cause any serious problem. However, this is not the case for individuals with a weakened immune system, whose signs and symptoms may be much more severe.",MARCO_249287,0," 1 Complications of lung cancer  Complications such as blood clots can lower stage 4 lung cancer life expectancy.  Where your lung cancer has spread - Lung cancer can spread to nearly any region of the body, but most commonly spreads to the brain, the bones, the liver, and the adrenal glands.",MARCO_2509296,3
120,31_5,5," What is throat cancer?<br/>Is it treatable?<br/>Tell me about lung cancer.<br/>What are its symptoms? <br/><span>Can it spread to the throat?</span>"," Video: How cancer spreads. Cancer spreads  or metastasizes  when cancer cells break away from the original tumor and travel through your bloodstream or lymphatic system to other parts of your body. This video shows how a type of skin cancer called melanoma can metastasize.Although the appearance of cancer cells and the way they spread varies depending on the type of cancer, the general concepts shown here are useful in understanding how any cancer can spread. Keep in mind that not all cancers metastasize.his video shows how a type of skin cancer called melanoma can metastasize. Although the appearance of cancer cells and the way they spread varies depending on the type of cancer, the general concepts shown here are useful in understanding how any cancer can spread.",MARCO_2644507,1," Spread to the Brain. Lung cancer is the most common cancer that spreads to the brain, and at least 40 percent of people with advanced lung cancer will develop brain metastases sometime during their disease. Both non-small cell lung cancer and small cell lung cancer can spread to the brain.",MARCO_2702319,1," About Lung Cancer. Non-Small Cell Lung Cancer. A group of lung cancers that are named for the kinds of cells found in the cancer and how the cells look under a microscope. The three main types of non-small cell lung cancer are squamous cell carcinoma, large cell carcinoma, and adenocarcinoma.on-small cell lung cancer is the most common kind of lung cancer... Read more about Non-Small Cell Lung Cancer. Small Cell Lung Cancer. An aggressive (fast-growing) cancer that forms in tissues of the lung and can spread to other parts of the body.",MARCO_1058736,1," Cancer is a disease in which cells in the body grow out of control. When cancer starts in the lungs, it is called lung cancer. Lung cancer begins in the lungs and may spread to lymph nodes or other organs in the body, such as the brain. Cancer from other organs also may spread to the lungs. When cancer cells spread from one organ to another, they are called metastases. Lung cancers usually are grouped into two main types called small cell and non-small cell. These types of lung cancer grow differently and are treated differently.",MARCO_2707479,1," There are two major types of lung cancer, non-small cell lung cancer (NSCLC) and small cell lung cancer (SCLC) . Staging lung cancer is based on whether the cancer is local or has spread from the lungs to the lymph nodes or other organs.",MARCO_2750366,1
121,31_5,5," What is throat cancer?<br/>Is it treatable?<br/>Tell me about lung cancer.<br/>What are its symptoms? <br/><span>Can it spread to the throat?</span>"," Without running to conclusion, throat and lung cancer can be the cause for the tickle in throat and the persistent coughing. You need to have a professional heath care provider diagnose the condition to be sure the cause is cancer before treatment can commence.",MARCO_2786992,2," Cigarette smoking is the principal risk factor for development of lung cancer. Passive exposure to tobacco smoke (passive smoking) also can cause lung cancer. The two types of lung cancer, which grow and spread differently, are small cell lung cancers (SCLC) and non-small cell lung cancers (NSCLC). The stage of lung cancer refers to the extent to which the cancer has spread in the body.",MARCO_28051,1," Cancers that spread to the lungs: Cancers that start in other organs (such as the breast, pancreas, kidney, or skin) can sometimes spread (metastasize) to the lungs, but these are not lung cancers. For example, cancer that starts in the breast and spreads to the lungs is still breast cancer, not lung cancer.",MARCO_28055,0," Types of Cancer: Throat Cancer. Throat cancer refers to cancerous tumors that develop in your throat (pharynx) or voice box (larynx). Throat cancer includes cancer of the nasopharynx (the upper part of the throat behind the nose), the oropharynx (the middle part of the pharynx), and the hypopharynx (the bottom part of the pharynx). Cancer of the larynx (voice box) may also be included as a type of throat cancer, and is also called pharyngeal cancer.",MARCO_291004,0," Stage 4 Non-Small Cell Lung Cancer. Stage IV non-small cell lung cancer (NSCLC) is the most advanced form of the disease. In stage IV, the cancer has metastasized, or spread, beyond the lungs into other areas of the body.About 40 percent of NSCLC patients are diagnosed with lung cancer when they are in stage IV.tage 4 Non-Small Cell Lung Cancer. Stage IV non-small cell lung cancer (NSCLC) is the most advanced form of the disease. In stage IV, the cancer has metastasized, or spread, beyond the lungs into other areas of the body.",MARCO_2916590,1
122,31_5,5," What is throat cancer?<br/>Is it treatable?<br/>Tell me about lung cancer.<br/>What are its symptoms? <br/><span>Can it spread to the throat?</span>"," SCLC is more responsive to chemotherapy and radiation... Non-small cell lung cancers (NSCLC) are assigned a stage from I to IV in order of severity. 1  In stage I, the cancer is confined to the lung. 2  In stages II and III, the cancer is confined to the lung and, possibly, the lymph nodes.3  Stage IV cancer has spread outside of the lung to other parts of the body.CLC is more responsive to chemotherapy and radiation... Non-small cell lung cancers (NSCLC) are assigned a stage from I to IV in order of severity. 1  In stage I, the cancer is confined to the lung. 2  In stages II and III, the cancer is confined to the lung and, possibly, the lymph nodes.",MARCO_2916592,1," 1 Surgery for early-stage throat cancer. 2  Throat cancer that is confined to the surface of the throat or the vocal cords may be treated surgically using endoscopy. 3  Your doctor may insert a hollow endoscope into your throat or voice box and then pass special surgical tools or a laser through the scope.ptions may include: 1  Surgery for early-stage throat cancer. 2  Throat cancer that is confined to the surface of the throat or the vocal cords may be treated surgically using endoscopy. 3  Your doctor may insert a hollow endoscope into your throat or voice box and then pass special surgical tools or a laser through the scope.",MARCO_2925881,0," Passive exposure to tobacco smoke (passive smoking) also can cause lung cancer. The two types of lung cancer, which grow and spread differently, are small cell lung cancers (SCLC) and non-small cell lung cancers (NSCLC). The stage of lung cancer refers to the extent to which the cancer has spread in the body. Treatment of lung cancer can involve a combination of surgery, chemotherapy, targeted therapy, immunotherapy, and radiation therapy as well as newer experimental methods.",MARCO_3061642,1," Passive exposure to tobacco smoke (passive smoking) also can cause lung cancer. The two types of lung cancer, which grow and spread differently, are small cell lung cancers (SCLC) and non-small cell lung cancers (NSCLC). The stage of lung cancer refers to the extent to which the cancer has spread in the body.",MARCO_1227209,1," Throat cancer refers to cancerous tumors that develop in your throat (pharynx), voice box (larynx) or tonsils. Your throat is a muscular tube that begins behind your nose and ends in your neck. Throat cancer most often begins in the flat cells that line the inside of your throat. Your voice box sits just below your throat and is also susceptible to throat cancer. The voice box is made of cartilage and contains the vocal cords that vibrate to make sound when you talk. Throat cancer can also affect the piece of cartilage (epiglottis) that acts as a lid for your windpipe. Tonsil cancer, another form of throat cancer, affects the tonsils, which are located on the back of the throat.",MARCO_3090847,0
123,31_5,5," What is throat cancer?<br/>Is it treatable?<br/>Tell me about lung cancer.<br/>What are its symptoms? <br/><span>Can it spread to the throat?</span>"," A cancer that has spread to another part of the body is called a secondary cancer. The most common areas that lung cancer spreads to are the lymph nodes (in the chest, abdomen, neck or armpit), the liver, the bones and the brain. More rarely lung cancer can spread to the adrenal glands or to other areas of the body. cancer that has spread to another part of the body is called a secondary cancer. The most common areas that lung cancer spreads to are the lymph nodes (in the chest, abdomen, neck or armpit), the liver, the bones and the brain. More rarely lung cancer can spread to the adrenal glands or to other areas of the body.",MARCO_3178149,1," For Women: Breast cancer is the leading cancer for women in the US. Lung cancer is the second most common form of cancer and colorectal cancer is third among white women. The number 2 and 3 cancers are reversed among black and AsianPacific Island women.For all women, the fourth leading cancer is cancer of the uterus.For Men: Prostate cancer is the leading cancer for men in the US.It is followed by lung cancer and then colorectal cancer. The fourth most common cancer is race-dependent.It is bladder cancer for white men, cancer of the mouth and throat for black men; and stomach cancer for AsianPacific Island men. For Children: The most common malignancies in childhood are leukemia, followed by brain tumors, and lymphoma.he fourth most common cancer is race-dependent. It is bladder cancer for white men, cancer of the mouth and throat for black men; and stomach cancer for AsianPacific Island men. For Children: The most common malignancies in childhood are leukemia, followed by brain tumors, and lymphoma.",MARCO_3466594,0," Viral Conjunctivitis. Viral conjunctivitis is caused by infection of the eye with a virus. Viral conjunctivitis. 1  Can be caused by a number of different viruses, many of which may be associated with an upper respiratory tract infection, cold, or sore throat.2  Usually begins in one eye and may progress to the second eye within days. 3  Spreads easily and rapidly between people and can result in epidemics.iral conjunctivitis. 1  Can be caused by a number of different viruses, many of which may be associated with an upper respiratory tract infection, cold, or sore throat. 2  Usually begins in one eye and may progress to the second eye within days. 3  Spreads easily and rapidly between people and can result in epidemics.",MARCO_3498379,0," Throat cancers may be cured when detected early. If the cancer has spread (metastasized) to surrounding tissues or lymph nodes in the neck, about half of patients can be cured. If the cancer has spread to parts of the body outside the head and neck, the cancer is not curable. Treatment is aimed at prolonging and improving quality of life. After treatment, therapy is needed to help with speech and swallowing.",MARCO_3581481,1," Small cell lung cancer can spread to the brain rapidly, often before the diagnosis of lung cancer is made. When small cell lung cancer has spread to the brain it is classified as extensive stage small cell lung cancer. Non-small cell lung cancer can spread to the brain as well, though often later in the disease.",MARCO_3855899,1
124,31_5,5," What is throat cancer?<br/>Is it treatable?<br/>Tell me about lung cancer.<br/>What are its symptoms? <br/><span>Can it spread to the throat?</span>"," What is throat cancer? Throat cancer is any cancer that forms in the throat. The throat, also called the pharynx, is a 5-inch-long tube that runs from your nose to your neck. The larynx (voice box) and pharynx are the two main places throat cancer forms. Throat cancer is a type of head and neck cancer, which includes cancer of the mouth, tonsils, nose, sinuses, salivary glands and neck lymph nodes.",MARCO_3878347,0," There are two main types of throat cancer: Squamous cell carcinoma develops in the thin, flat cells that line much of the throat. These cells look scale-like when checked under a microscope. This type of throat cancer is the most common in the United States. Adenocarcinoma begins in the glandular cells of the throat. Throat cancer includes several different cancers under the head and neck umbrella. Laryngeal cancer and pharyngeal cancer are two of the most common types of throat cancer. Pharyngeal cancer is broken into three types: 1  Nasopharynx cancer forms in the upper part of the throat.  Oropharynx cancer forms in the middle part of the throat.",MARCO_3878348,0," Lung cancer is the number one cause of cancer deaths in both men and women in the U.S. and worldwide. Cigarette smoking is the principal risk factor for development of lung cancer. Passive exposure to tobacco smoke (passive smoking) also can cause lung cancer. The two types of lung cancer, which grow and spread differently, are small cell lung cancers (SCLC) and non-small cell lung cancers (NSCLC). The stage of lung cancer refers to the extent to which the cancer has spread in the body.",MARCO_3905696,1," In men, gonorrhea can be very painful and lead to sterility. Gonorrhea can also spread to the blood or joints. If you are exposed to HIV and you have gonorrhea, its more likely that youll get HIV. If you have a rectal infection, symptoms can include discharge, itching, soreness, bleeding, or painful bowel movements. Infections in the throat may cause a sore throat.",MARCO_3907736,0," Treatment of Metastatic Cancer of the Throat. Patients with metastatic cancer of the throat have cancer that has spread to distant sites beyond the throat and neck region. Patients with metastatic cancer are usually treated with systemic combination chemotherapy. However, control of the primary cancer and regional lymph node spread through surgery or radiation is as important as controlling the metastases.",MARCO_1019257,2
125,31_5,5," What is throat cancer?<br/>Is it treatable?<br/>Tell me about lung cancer.<br/>What are its symptoms? <br/><span>Can it spread to the throat?</span>"," While many sore throats will get better without treatment, some throat infectionsincluding strep throatmay need antibiotic treatment. How You Get Strep Throat. Strep throat is an infection in the throat and tonsils caused by group A Streptococcus bacteria (called group A strep).Group A strep bacteria can also live in a person's nose and throat without causing illness. The bacteria are spread through contact with droplets after an infected person coughs or sneezes.trep Throat. Caused by a group A streptococcal infection. Common symptoms include fever, sore throat, and enlarged lymph nodes. Strep throat is a contagious infection, spread through close contact with an infected individual. PubMed Health Glossary. (Source: Wikipedia). Symptoms Treatments.",MARCO_3961948,0," Tumors in the mouth (oral cancer) and throat (oropharyngeal cancer) include both benign (not cancer) and malignant types. Benign tumors, although they may grow and penetrate below the surface layer of tissue, do not spread by metastasis to other parts of the body.",MARCO_396242,0," Incubation Period for Strep Throat. After a person has been infected with the bacteria (group A streptococcus) that cause strep throat, they do not immediately have any signs or symptoms of strep throat. On average, it takes about two to four days for symptoms to start. This period between transmission and the beginning of symptoms is called the strep throat incubation period.. This throat infection is typically spread through contact with infected throat mucus, nasal discharge, or saliva. This can happen in one of a couple of different ways. It can be spread when an infected person sneezes or coughs and the infected mucus lands in another person's nose, throat, or eyes.",MARCO_4060749,0," What are the Symptoms and Signs of Strep Throat? Throat infection with strep bacteria is contagious and can cause a variety of symptoms associated with inflammation of the throat and its nearby structures. Symptoms usually begin within a few days (1-4 days) after contracting the infection (incubation period). Typical signs of strep throat infection are: 1  fever; 2  swollen, tender lymph nodes on the sides of the neck; 3  white patches seen on the tonsils and throat.",MARCO_4060752,0," Select A Cancer Type. Small cell lung cancer is also called oat cell cancer. About 10%-15% of lung cancers are small cell lung cancers. This type of lung cancer tends to spread quickly.mall cell lung cancer is also called oat cell cancer. About 10%-15% of lung cancers are small cell lung cancers. This type of lung cancer tends to spread quickly.",MARCO_4149967,1
126,31_5,5," What is throat cancer?<br/>Is it treatable?<br/>Tell me about lung cancer.<br/>What are its symptoms? <br/><span>Can it spread to the throat?</span>"," Small cell lung cancer accounts for 10%15% of all lung cancers. It usually starts in the bronchi in the centre of the lungs. Small cell lung cancer is the most aggressive of all types of lung cancer.In many cases, it has spread to other parts of the body by the time it is diagnosed. Small cell lung cancer is also known as oat cell carcinoma or small cell undifferentiated carcinoma. Stage is the most important prognostic factor for small cell lung cancer. 2  Limited stage cancers have a much better prognosis than extensive stage cancers. 3  Most people with small cell lung cancer are diagnosed with extensive stage cancer because the cancer spreads early and quickly, before it causes symptoms.",MARCO_4149970,1," Small cell lung cancer. Small cell lung cancer, which is often referred to as oat cell lung cancer because the cells resemble oats under the microscope, begins in the lung tissue. Unlike most non-small cell lung cancer, it often spreads quickly.mall cell lung cancer. Small cell lung cancer, which is often referred to as oat cell lung cancer because the cells resemble oats under the microscope, begins in the lung tissue. Unlike most non-small cell lung cancer, it often spreads quickly.",MARCO_4149974,1," TB is spread through the air from one person to another. The bacteria are put in the air when a person with TB disease of the lungs or throat coughs or sneezes. People nearby may breathe bacteria and become infected. When a person breathes in TB bacteria the bacteria can settle in the lungs and begin to grow.From there, they move through the blood to other parts of the body, such as the kidney, spine and brain. TB in the lungs or throat can be infectious. This means that the bacteria can be spread to other people.TB in other parts of the body, such as the kidney or spine, is usually not infectious.People with TB disease are most likely to spread it to people they spend time with every day.B in the lungs or throat can be infectious. This means that the bacteria can be spread to other people. TB in other parts of the body, such as the kidney or spine, is usually not infectious. People with TB disease are most likely to spread it to people they spend time with every day.",MARCO_4197922,0," 1 Oropharyngeal cancer is a disease in which malignant (cancer) cells form in the tissues of the oropharynx. 2  Smoking or being infected with human papillomavirus can increase the risk of oropharyngeal cancer. 3  Signs and symptoms of oropharyngeal cancer include a lump in the neck and a sore throat.reatment of stage IV oropharyngeal cancer that has spread to other parts of the body or that has recurred (come back) may include the following: 1  Radiation therapy. 2  Surgery. 3  Chemotherapy for patients with cancer that has spread to other parts of the body or recurrent cancer that cannot be removed by surgery.",MARCO_4239401,0," Oropharyngeal cancer is a type of head and neck cancer. Sometimes more than one cancer can occur in the oropharynx and in other parts of the oral cavity, nose, throat, larynx (vocal cords), trachea, or esophagus at the same time.reatment of stage IV oropharyngeal cancer that has spread to other parts of the body or that has recurred (come back) may include the following: 1  Radiation therapy. 2  Surgery. 3  Chemotherapy for patients with cancer that has spread to other parts of the body or recurrent cancer that cannot be removed by surgery.",MARCO_4239407,0
127,31_5,5," What is throat cancer?<br/>Is it treatable?<br/>Tell me about lung cancer.<br/>What are its symptoms? <br/><span>Can it spread to the throat?</span>"," Mouth cancer, also called oral cancer, describes a cancerous tumour, growth or sore developing in the mouth. On the gums. Mouth cancer is related to throat cancer affecting the throat (pharynx). Mouth cancer can be life-threatening if it is not diagnosed and treated as early as possible. Mouth cancer can develop in the mouth itself, called primary oral cancer. It can also spread to the mouth from cancer elsewhere in the body. This is called secondary oral cancer, or metastatic oral cancer.",MARCO_1467228,2," Enlarge Laryngeal cancer forms in the tissues of the larynx (area of the throat that contains the vocal cords). The larynx includes the supraglottis, glottis (vocal cords), and subglottis. The cancer may spread to nearby tissues or to the thyroid, trachea, or esophagus. It may also spread to the lymph nodes in the neck, the carotid artery, the upper part of the spinal column, the chest, and to other parts of the body (not shown).",MARCO_4292569,0," Incubation Period for Strep Throat. After a person has been infected with the bacteria (group A streptococcus) that cause strep throat, they do not immediately have any signs or symptoms of strep throat. On average, it takes about two to four days for symptoms to start.This period between transmission and the beginning of symptoms is called the strep throat incubation period.. This throat infection is typically spread through contact with infected throat mucus, nasal discharge, or saliva.fter a person has been infected with the bacteria (group A streptococcus) that cause strep throat, they do not immediately have any signs or symptoms of strep throat. On average, it takes about two to four days for symptoms to start.",MARCO_4577457,0," Lymph node removal: Cancer of the throat sometimes spreads to the lymph nodes in the neck. If such spreading seems likely, then removing the lymph nodes might be recommended. This operation is called a neck dissection, and is usually done at the same time as surgery to remove an already existing tumor.",MARCO_4662508,0," Throat cancer is classified into several stages according to the severity of the tumor and its spread throughout the body. Stage 1:-. At this stage, the size of the tumor is very small and it is in a developing phase. It has not damaged the lymph nodes or any other area of the throat.efore understanding throat cancer stages it is very important to have a brief idea about the symptoms, diagnosis and treatment of the disease. Symptoms of this tumor include:-. 1  Constant cough. 2  Fever. 3  Coughing up of blood.",MARCO_4976183,0
128,31_5,5," What is throat cancer?<br/>Is it treatable?<br/>Tell me about lung cancer.<br/>What are its symptoms? <br/><span>Can it spread to the throat?</span>"," The signs and symptoms will vary, depending on the stage of cancer. The most common signs are lumps in the neck, trouble in swallowing, sore throat, hoarseness, disfigurement of the neck or face, hardening of the skin, coughing up blood, and ear pain.hroat Cancer Prognosis-Stage 4. With a survival rate of almost 30%, stage 4 throat cancer is a matter of grave concern. At this stage, the cancer has already spread to the lymph nodes and other organs.",MARCO_4976185,0," It can be difficult to detect throat cancer in its early stages. Common signs and symptoms of throat cancer include: 1  a change in your voice. 2  trouble swallowing. 3  weight loss. 4  sore throat. 5  persistent cough (may cough up blood). 6  swollen lymph nodes in the neck.hese abnormal cells form malignant growths called tumors. Throat cancer refers to cancer of the voice box, the vocal cords, and other parts of the throat, such as the tonsils and the oropharynx. Raise money to cover your cancer treatment costs.",MARCO_4976187,0," 1 These plants may lodge in the gums or rear of your dog's throat. If that happens, usually a vet's help is needed to remove them.  Lung cancer Coughing can be a symptom of this type of cancer, but it is rare in dogs. Nevertheless, it is good to have your veterinarian rule it out as a possibility. Canine lung cancer frequently will metastasize, or spread, from a tumor elsewhere in the body.",MARCO_4998693,1," Respiratory viral infections affect the lungs, nose, and throat. These viruses are most commonly spread by inhaling droplets containing virus particles. Examples include: 1  Rhinovirus is the virus that most often causes the common cold, but there are more than 200 different viruses that can cause colds.2  Cold symptoms like coughing, sneezing, mild headache, and sore throat typically last for up to 2 weeks.hese viruses are most commonly spread by inhaling droplets containing virus particles. Examples include: 1  Rhinovirus is the virus that most often causes the common cold, but there are more than 200 different viruses that can cause colds.",MARCO_5101398,0," Streptococcal pharyngitis, streptococcal tonsillitis, or streptococcal sore throat (known colloquially as strep throat) is a type of pharyngitis caused by a group A streptococcal infection. It affects the pharynx including the tonsils and possibly the larynx.Common symptoms include fever, sore throat, and enlarged lymph nodes. It is the cause of 1540% of sore throats among children and 515% in adults.Strep throat is a contagious infection, spread through close contact with an infected individual.A definitive diagnosis is made based on the results of a throat culture.t affects the pharynx including the tonsils and possibly the larynx. Common symptoms include fever, sore throat, and enlarged lymph nodes. It is the cause of 1540% of sore throats among children and 515% in adults.",MARCO_5263532,0
129,31_5,5," What is throat cancer?<br/>Is it treatable?<br/>Tell me about lung cancer.<br/>What are its symptoms? <br/><span>Can it spread to the throat?</span>"," What Are Laryngeal and Hypopharyngeal Cancers? Laryngeal and hypopharyngeal cancers start in the lower part of the throat. Cancer starts when cells in the body begin to grow out of control. Cells in nearly any part of the body can become cancer, and can spread to other areas of the body. To learn more about how cancers start and spread, see What Is Cancer?",MARCO_5289694,1," 1 Complications of lung cancer  Complications such as blood clots can lower stage 4 lung cancer life expectancy.  Where your lung cancer has spread - Lung cancer can spread to nearly any region of the body, but most commonly spreads to the brain, the bones, the liver, and the adrenal glands.",MARCO_2509296,3," As more cancer cells develop, they can form into a tumor and spread to other areas of the body. To learn more about how cancers start and spread, see What Is Cancer? Types of lung cancer. The 2 main types of lung cancer are: Small cell lung cancer (SCLC), which is sometimes called oat cell cancer. About 10% to 15% of lung cancers are SCLC. Non-small cell lung cancer (NSCLC), which makes up about 80% to 85% of lung cancers. The 3 main types of NSCLC are adenocarcinoma, squamous cell carcinoma, and large cell carcinoma. Small cell and non-small cell lung cancers are treated differently. The information here focuses on small cell lung cancer. See Lung Cancer (Non-Small Cell) for information about that type of lung cancer. Other types of lung cancer and tumors. Lung carcinoid tumors: Less than 5% of lung tumors are carcinoid tumors of the lung. Most of these grow slowly. For more information about these tumors, see Lung Carcinoid Tumor.",MARCO_5289783,0," Throat cancers may not cause any symptoms if they are very small and have not spread at the time of diagnosis. Sometimes, an area of irritation or discoloration on the lining issues of the throat is the only sign of an abnormality. Depending upon the extent of spread of the cancer, other symptoms can include: 1  swelling of nearby tissues,  enlarged lymph nodes,",MARCO_5295407,0," Strep Throat. Caused by a group A streptococcal infection. Common symptoms include fever, sore throat, and enlarged lymph nodes. Strep throat is a contagious infection, spread through close contact with an infected individual.PubMed Health Glossary.(Source: Wikipedia). Symptoms Treatments.trep Throat. Caused by a group A streptococcal infection. Common symptoms include fever, sore throat, and enlarged lymph nodes. Strep throat is a contagious infection, spread through close contact with an infected individual. PubMed Health Glossary. (Source: Wikipedia).",MARCO_5394665,0
130,31_5,5," What is throat cancer?<br/>Is it treatable?<br/>Tell me about lung cancer.<br/>What are its symptoms? <br/><span>Can it spread to the throat?</span>"," Symptoms of head and neck cancer. A lump in the neck. Cancers that begin in the head or neck usually spread to lymph nodes in the neck before they spread elsewhere. A lump in the neck that lasts more than two weeks should be seen by a physician as soon as possible.Of course, not all lumps are cancer.But a lump (or lumps) in the neck can be the first sign of cancer of the mouth, throat, voicebox (larynx), thyroid gland, or of certain lymphomas and blood cancers. Such lumps are generally painless and continue to enlarge steadily.Change in the voice. Most cancers in the larynx cause some changes in voice.ymptoms of head and neck cancer. A lump in the neck. Cancers that begin in the head or neck usually spread to lymph nodes in the neck before they spread elsewhere. A lump in the neck that lasts more than two weeks should be seen by a physician as soon as possible.",MARCO_5485077,0," Some other symptoms of oral thrush include burning pain in the mouth or throat and altered or reduced taste. When oral thrush spreads to the throat, it can cause sore throat, difficulty in swallowing and, in case of a more serious infection, fever.ral Thrush is an infection usually limited to the mucous membranes of the mouth and tongue. Oral thrush is also known as oral candidiasis from the yeast-like fungal organism, Candida albicans, that is causing the infection (although other related Candida species may be involved).",MARCO_5543369,0," These cancers are sometimes not found until they have spread to the lymph nodes and the person notices a growing mass in the neck. Other symptoms. Cancers that start in the area of the larynx above the vocal cords (supraglottis), the area below the vocal cords (subglottis), or the hypopharynx do not usually cause voice changes, and are therefore more often found at later stages. Symptoms of these cancers may include: 1  A sore throat that does not go away. 2  Constant coughing. 3  Pain when swallowing. 4  Trouble swallowing. 5  Ear pain. 6  Trouble breathing. 7  Weight loss. 8  A lump or mass in the neck (due to spread of the cancer to nearby lymph nodes) Many of these symptoms are more likely to be caused by conditions other than laryngeal or hypopharyngeal cancer. Still, if you have any of these symptoms, it is very important to have them checked by a doctor so that the cause can be found and treated, if needed.",MARCO_5544647,0," Strep Throat. Caused by a group A streptococcal infection. Common symptoms include fever, sore throat, and enlarged lymph nodes.Strep throat is a contagious infection, spread through close contact with an infected individual.PubMed Health Glossary. (Source: Wikipedia). Symptoms Treatments.trep Throat. Caused by a group A streptococcal infection. Common symptoms include fever, sore throat, and enlarged lymph nodes.",MARCO_5653571,0," Passive smoking. Breathing in other people's smoke, also called second-hand smoke, can cause cancer. Passive smoking can increase a non-smoker's risk of getting lung cancer by a quarter, and may also increase the risk of cancers of the larynx (voice box) and pharynx (upper throat).",MARCO_5674679,0
131,31_5,5," What is throat cancer?<br/>Is it treatable?<br/>Tell me about lung cancer.<br/>What are its symptoms? <br/><span>Can it spread to the throat?</span>"," Passive smoking can increase a non-smoker's risk of getting lung cancer by a quarter, and may also increase the risk of cancers of the larynx (voice box) and pharynx (upper throat).",MARCO_5674683,0," Droplet spread. 1  Germs that cause colds, strep throats etc. are found in the saliva and secretions of the nose. 2  When people cough, sneeze, have runny noses, or do anything that spreads droplets of secretions from the respiratory tract, the germs can spread.",MARCO_5727566,0," 1 Complications of lung cancer  Complications such as blood clots can lower stage 4 lung cancer life expectancy.  Where your lung cancer has spread - Lung cancer can spread to nearly any region of the body, but most commonly spreads to the brain, the bones, the liver, and the adrenal glands.",MARCO_2509296,3," The subglottis connects to the trachea, which takes air to the lungs. Cancer of the larynx, can also be called laryngeal cancer, can develop in any part of the larynx, but most begins in the glottis. The inner walls of the larynx are lined with cells called squamous cells. Almost all laryngeal cancers begin in these cells. If cancer of the larynx spreads, the cancer cells often spread to nearby lymph nodes in the neck. The cancer cells can also spread to the back of the tongue, other parts of the throat and neck, the lungs, and other parts of the body.",MARCO_5962842,0," The metastatic tumor is the same type of cancer as the primary tumor. For example, if primary liver cancer spreads to the lung, the cancer cells in the lung are actually liver cancer cells. The disease is metastatic liver cancer, not lung cancer.The Barcelona Clinic Liver Cancer Staging System may be used to stage adult primary liver cancer.he metastatic tumor is the same type of cancer as the primary tumor. For example, if primary liver cancer spreads to the lung, the cancer cells in the lung are actually liver cancer cells. The disease is metastatic liver cancer, not lung cancer.",MARCO_6051426,0
