HITid,AssignmentId,WorkerId,Time of Day,Day of Week,Start Time,End Time,Time,Minutes,Input Time (s),Query Time (s),Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,doc13id,doc13selected,Num Relevant Selected,NumNRSelected
308KJXFUKVMDKM0P5FCQ0X2U8HTTAQ,3G0WWMR1U00AZ90GNHT15I7V6AKNQ4,AOTSBJGYMR4N8,2021-07-21T09:36:09,WEDNESDAY,1.63E+12,1.63E+12,51,0.85,20.338,0, best bird species for pets, , Pets, nr-clueweb09-en0002-07-18242,FALSE, clueweb09-en0000-32-26527,TRUE, clueweb09-en0000-40-18468,TRUE, clueweb09-en0005-78-19277,FALSE, clueweb09-en0003-10-08475,TRUE, clueweb09-en0003-70-06463,FALSE, clueweb09-en0000-40-18505,FALSE, clueweb09-en0005-78-19098,TRUE, random-clueweb09-en0003-07-27095,FALSE, clueweb09-en0003-70-06466,FALSE, clueweb09-en0001-98-19307,FALSE, clueweb09-en0006-85-26708,FALSE, nr-clueweb09-en0005-01-03455,FALSE,4,0
308KJXFUKVMDKM0P5FCQ0X2U8HTTAQ,3SBEHTYCWSJRUAGBHBX3DWEGJK7YI2,A6717SDXOR1OP,2021-07-21T09:36:12,WEDNESDAY,1.63E+12,1.63E+12,143,2.383333333,22.16,0, aids vaccine, , Science, clueweb09-en0008-67-13055,TRUE, clueweb09-en0008-67-13050,TRUE, clueweb09-en0000-97-24420,TRUE, clueweb09-en0006-52-12334,TRUE, nr-clueweb09-en0009-32-28426,TRUE, random-clueweb09-en0007-00-09110,FALSE, clueweb09-enwp00-17-11852,TRUE, clueweb09-enwp03-27-22246,TRUE, clueweb09-en0000-39-09375,TRUE, clueweb09-en0006-52-22610,TRUE, clueweb09-en0008-09-12218,TRUE, clueweb09-en0005-47-18625,TRUE, nr-clueweb09-en0009-32-28408,TRUE,10,2
3IJ95K7NE1SGZ088UJIONK75HUKGNO,3EQHHY4HQX8FWV0WGLS3HN3792C5G2,AOTSBJGYMR4N8,2021-07-21T09:37:00,WEDNESDAY,1.63E+12,1.63E+12,44,0.733333333,19.799,0, how to make perfect french fries, , Food &amp; Drink, clueweb09-en0005-54-04989,FALSE, clueweb09-en0002-70-18743,FALSE, clueweb09-en0010-22-15425,FALSE, clueweb09-en0008-02-14313,FALSE, nr-clueweb09-en0007-90-19776,FALSE, clueweb09-en0007-42-39048,TRUE, clueweb09-en0002-70-18747,FALSE, clueweb09-en0003-60-11005,FALSE, clueweb09-en0003-31-20853,FALSE, random-clueweb09-en0006-35-27399,FALSE, clueweb09-en0011-03-18892,FALSE, clueweb09-en0001-63-19218,TRUE, nr-clueweb09-en0000-67-07237,FALSE,2,0
344M16OZLMVIFMCHOOS0NHMT4E5EN5,3C6FJU71TV9W31BBBSMHWZ2RDFUYUA,AOTSBJGYMR4N8,2021-07-21T09:37:44,WEDNESDAY,1.63E+12,1.63E+12,70,1.166666667,38.919,0, top 200 tennis players, , Sports, clueweb09-enwp00-59-01271,TRUE, clueweb09-en0005-46-09078,FALSE, clueweb09-en0008-80-33179,FALSE, clueweb09-enwp01-97-18708,FALSE, nr-clueweb09-en0007-86-06995,FALSE, random-clueweb09-enwp02-01-03342,FALSE, clueweb09-en0006-66-07496,FALSE, clueweb09-en0005-46-09071,FALSE, clueweb09-en0001-27-23639,FALSE, clueweb09-en0001-02-26919,FALSE, clueweb09-en0010-68-32172,TRUE, clueweb09-en0009-34-29500,FALSE, nr-clueweb09-enwp00-08-08333,FALSE,2,0
34KYK9TV3VOHOWS2MT7WL3QEOG0BSE,3KOPY89HMDIM9I3TA8PDZ3X3NY23JE,A38IPIPA3T3G4,2021-07-21T09:38:24,WEDNESDAY,1.63E+12,1.63E+12,183,3.05,117.018,0, USA female soccer team captain, , Sports, clueweb09-en0000-73-16830,FALSE, clueweb09-en0003-55-25568,FALSE, clueweb09-enwp01-15-06072,TRUE, clueweb09-en0011-03-00059,FALSE, clueweb09-en0003-71-08021,FALSE, clueweb09-en0002-33-05563,FALSE, clueweb09-en0011-44-06783,FALSE, clueweb09-en0000-65-17370,FALSE, random-clueweb09-en0009-77-38942,FALSE, clueweb09-en0005-43-10034,FALSE, nr-clueweb09-en0009-00-33424,FALSE, clueweb09-en0010-68-02343,FALSE, nr-clueweb09-en0003-71-07999,TRUE,1,1
3HEM8MA6IDS7FAEZDU0SLNG2NWUQPP,3WI0P0II6681PYO3B24YE356OSLDRE,A6717SDXOR1OP,2021-07-21T09:38:47,WEDNESDAY,1.63E+12,1.63E+12,302,5.033333333,32.288,0, how to make a birdhouse, , Crafts &amp; Hobbies, clueweb09-en0009-65-08530,TRUE, clueweb09-en0004-93-26586,TRUE, clueweb09-en0009-86-16235,TRUE, clueweb09-en0002-86-09660,TRUE, nr-clueweb09-en0002-81-22217,FALSE, clueweb09-en0004-93-26590,TRUE, clueweb09-en0005-63-10207,TRUE, clueweb09-en0011-74-05794,FALSE, random-clueweb09-en0000-87-03924,FALSE, clueweb09-en0006-92-39146,TRUE, clueweb09-en0002-44-06438,TRUE, clueweb09-en0002-83-11111,FALSE, nr-clueweb09-en0011-45-12470,FALSE,8,0
3ZXNP4Z3AV17I7UMP3YF4FQNDW1L7O,3STRJBFXO17MJJ7578VGIV1EWMETKJ,AOTSBJGYMR4N8,2021-07-21T09:38:55,WEDNESDAY,1.63E+12,1.63E+12,73,1.216666667,27.979,0, best selling beatles album, , Entertainment, random-clueweb09-en0009-06-35915,FALSE, clueweb09-enwp02-00-10835,TRUE, nr-clueweb09-en0006-27-06335,FALSE, clueweb09-enwp02-00-12200,TRUE, clueweb09-en0002-89-17449,FALSE, clueweb09-en0001-21-03564,FALSE, clueweb09-en0008-31-09720,TRUE, clueweb09-en0000-25-25405,FALSE, clueweb09-en0005-11-01151,FALSE, clueweb09-en0011-18-38963,FALSE, clueweb09-en0005-34-30197,FALSE, clueweb09-en0010-93-24855,FALSE, nr-clueweb09-en0003-05-11860,FALSE,3,0
3KG2UQJ0NN47CP2MXFN0HYB7NHTQNT,3A0EX8ZRND4H7225B15MR9A3OUOBY7,AOTSBJGYMR4N8,2021-07-21T09:40:09,WEDNESDAY,1.63E+12,1.63E+12,47,0.783333333,25.098,0, 1960 us election results, , Politics, clueweb09-enwp03-30-10813,TRUE, clueweb09-en0003-16-03448,FALSE, random-clueweb09-en0002-63-12795,FALSE, clueweb09-en0008-01-08233,FALSE, clueweb09-en0006-57-07948,FALSE, clueweb09-en0005-56-25524,FALSE, clueweb09-enwp00-15-02461,TRUE, nr-clueweb09-enwp03-27-12000,FALSE, clueweb09-en0000-01-04877,FALSE, clueweb09-en0007-81-35608,FALSE, clueweb09-en0007-81-35644,FALSE, clueweb09-en0003-16-03450,FALSE, nr-clueweb09-enwp03-27-11999,FALSE,2,0
3WRKFXQBPFNO7QIHR9R2PCIS0RGIY8,3X1FV8S5J27WUPFBMCAGLLX6MQEGVK,AOTSBJGYMR4N8,2021-07-21T09:40:57,WEDNESDAY,1.63E+12,1.63E+12,73,1.216666667,28.409,0, types of rock, , Science, clueweb09-en0007-54-29259,TRUE, clueweb09-en0007-30-09786,TRUE, random-clueweb09-en0005-94-21396,FALSE, clueweb09-en0003-13-24387,FALSE, clueweb09-enwp03-26-08431,FALSE, clueweb09-en0000-40-10686,TRUE, clueweb09-en0006-52-16528,FALSE, clueweb09-en0007-80-06094,FALSE, nr-clueweb09-en0003-58-06164,FALSE, clueweb09-en0005-89-32193,FALSE, clueweb09-en0007-54-29258,TRUE, clueweb09-en0003-69-00212,FALSE, nr-clueweb09-en0002-71-30332,TRUE,4,1
3BPP3MA3UG0SRM9WCBCLAPI4ZJ5EL3,32SVAV9L3KPB8P0PG2C064UKXB8A35,A38IPIPA3T3G4,2021-07-21T09:41:30,WEDNESDAY,1.63E+12,1.63E+12,195,3.25,139.251,0, how to pass GMAT, , Education, clueweb09-en0004-17-03788,TRUE, random-clueweb09-en0006-26-18498,FALSE, clueweb09-en0006-79-29399,FALSE, clueweb09-en0000-00-19354,TRUE, clueweb09-en0005-70-16366,FALSE, clueweb09-en0008-93-20586,TRUE, clueweb09-en0006-79-29406,FALSE, clueweb09-en0000-61-16375,TRUE, clueweb09-en0000-08-15917,TRUE, nr-clueweb09-en0011-46-10742,FALSE, clueweb09-en0011-64-16963,TRUE, clueweb09-en0009-18-08555,FALSE, nr-clueweb09-en0010-41-26793,FALSE,6,0
3GV1I4SEPD5OE7GH6TTNY1QRILHL6P,31LM9EDVOQ8TDMW3SR9S8HV9SFTJNA,AOTSBJGYMR4N8,2021-07-21T09:42:10,WEDNESDAY,1.63E+12,1.63E+12,57,0.95,14.725,0, top performing mutual funds, , Economy &amp; Finance, clueweb09-en0004-12-24859,FALSE, clueweb09-en0002-31-25601,TRUE, clueweb09-en0005-94-20459,TRUE, clueweb09-en0000-42-23450,FALSE, clueweb09-en0000-59-12626,FALSE, clueweb09-en0004-59-03630,FALSE, random-clueweb09-enwp03-08-12100,FALSE, nr-clueweb09-en0009-29-40087,FALSE, clueweb09-en0009-29-40051,FALSE, clueweb09-en0002-90-14468,FALSE, clueweb09-en0006-54-11975,FALSE, clueweb09-en0002-17-04742,TRUE, nr-clueweb09-en0007-35-19355,FALSE,3,0
38EHZ67RJQ8AHIN8II3OA5I5C4AGMO,31T4R4OBOXWH2NYA2SBHPGWO2GF7C9,AOTSBJGYMR4N8,2021-07-21T09:43:08,WEDNESDAY,1.63E+12,1.63E+12,55,0.916666667,22.666,0, easy garden flowers, , Crafts &amp; Hobbies, clueweb09-en0007-11-05073,TRUE, clueweb09-en0005-64-09731,FALSE, random-clueweb09-en0002-82-08074,FALSE, nr-clueweb09-en0003-22-32390,FALSE, clueweb09-en0011-33-08840,FALSE, clueweb09-en0008-42-03157,FALSE, clueweb09-en0010-08-06116,FALSE, clueweb09-en0009-13-38991,FALSE, clueweb09-en0003-35-12514,TRUE, clueweb09-en0005-83-00133,FALSE, clueweb09-en0003-72-12863,FALSE, clueweb09-en0009-13-39016,FALSE, nr-clueweb09-en0008-94-31755,FALSE,2,0
3UZUVSO3QBBCX4RHCND0A2XTZOVEM5,3634BBTX0TALUJZGCL5FOB70D9IFIN,A38IPIPA3T3G4,2021-07-21T09:43:25,WEDNESDAY,1.63E+12,1.63E+12,171,2.85,102.025,0, Benin bronze head, , Arts, clueweb09-en0009-97-32932,TRUE, random-clueweb09-en0007-49-03198,TRUE, clueweb09-en0001-62-08820,TRUE, clueweb09-en0004-92-36390,FALSE, clueweb09-en0008-64-24983,TRUE, clueweb09-en0007-75-21761,TRUE, nr-clueweb09-en0000-66-04373,FALSE, clueweb09-en0001-62-08827,FALSE, clueweb09-enwp01-04-17094,TRUE, clueweb09-en0004-35-10947,FALSE, clueweb09-enwp01-90-18758,FALSE, clueweb09-en0004-60-21970,FALSE, nr-clueweb09-en0009-85-26973,FALSE,5,1
39O6Z4JLY6D4TRC7LK4JLN1D6NIVXC,3KV0LJBBH714TSUGOV31XTS0X6DMR5,AOTSBJGYMR4N8,2021-07-21T09:44:03,WEDNESDAY,1.63E+12,1.63E+12,78,1.3,20.19,0, health benefits of coffee, , Health &amp; Wellness, clueweb09-en0000-73-28546,FALSE, clueweb09-en0004-62-22390,TRUE, clueweb09-en0008-98-40076,FALSE, nr-clueweb09-en0006-03-29750,FALSE, clueweb09-en0008-31-00018,FALSE, clueweb09-en0006-03-07357,FALSE, clueweb09-en0011-20-15080,FALSE, clueweb09-en0000-30-16481,TRUE, clueweb09-en0008-72-24897,FALSE, random-clueweb09-en0011-47-15958,FALSE, clueweb09-en0006-30-24611,FALSE, clueweb09-en0006-68-38089,TRUE, nr-clueweb09-en0007-43-15775,FALSE,3,0
344M16OZLMVIFMCHOOS0NHMT4E5EN5,3URFVVM16AYW8RLG7EO0A6BTJ9ZZU3,A38IPIPA3T3G4,2021-07-21T09:44:46,WEDNESDAY,1.63E+12,1.63E+12,147,2.45,106.765,0, Diego Maradona, , Sports, clueweb09-en0006-00-39052,FALSE, clueweb09-enwp00-41-24094,FALSE, clueweb09-en0007-45-17959,TRUE, clueweb09-enwp01-18-11562,TRUE, clueweb09-en0011-99-19271,TRUE, random-clueweb09-en0009-64-30845,FALSE, nr-clueweb09-en0006-54-01349,FALSE, clueweb09-en0006-65-28539,FALSE, clueweb09-en0005-72-28387,FALSE, clueweb09-en0002-59-24188,TRUE, clueweb09-en0008-01-17753,TRUE, clueweb09-en0003-69-24499,FALSE, nr-clueweb09-en0001-04-20940,FALSE,5,0
3UZUVSO3QBBCX4RHCND0A2XTZOVEM5,33M4IA01QLHFN4TK225A8A8Y4AXRXU,A2WPHVMLLEV5ZB,2021-07-21T09:45:07,WEDNESDAY,1.63E+12,1.63E+12,73,1.216666667,16.598,0, computers, , Technology, clueweb09-en0002-70-12725,TRUE, clueweb09-en0000-94-06431,TRUE, clueweb09-en0011-79-13343,TRUE, clueweb09-en0009-68-00724,TRUE, clueweb09-en0002-91-14736,FALSE, clueweb09-en0004-97-26929,TRUE, clueweb09-en0009-88-06108,FALSE, clueweb09-en0000-94-06430,TRUE, nr-clueweb09-en0004-68-07783,FALSE, random-clueweb09-en0004-13-04016,FALSE, clueweb09-en0003-67-22564,TRUE, clueweb09-en0011-83-29418,TRUE, nr-clueweb09-en0004-68-07379,TRUE,8,1
3T8DUCXY1RMZF3QKD9YQ42RA2ZBT9B,35USIKEBNWWHPRHW88F3ZDQ4699N68,AOTSBJGYMR4N8,2021-07-21T09:45:22,WEDNESDAY,1.63E+12,1.63E+12,70,1.166666667,26.023,0, poisonous food for dogs, , Pets, clueweb09-en0002-26-08601,TRUE, clueweb09-en0008-35-45259,TRUE, clueweb09-en0002-28-35123,FALSE, random-clueweb09-en0002-86-03239,FALSE, clueweb09-en0002-26-08587,TRUE, clueweb09-en0006-99-22192,FALSE, clueweb09-en0000-26-07956,FALSE, clueweb09-en0010-52-27007,TRUE, clueweb09-en0002-33-27740,FALSE, clueweb09-en0002-46-30367,FALSE, nr-clueweb09-en0011-18-16363,FALSE, clueweb09-en0001-00-20048,FALSE, nr-clueweb09-en0005-24-10770,FALSE,4,0
3R6RZGK0YJSTTW2HQGQL418M8TCVYI,3UWN2HHPU3LMCPFTFLI60IMWOY6SNZ,A38IPIPA3T3G4,2021-07-21T09:46:17,WEDNESDAY,1.63E+12,1.63E+12,128,2.133333333,73.625,0, play station 2, , Technology, clueweb09-en0002-06-06369,TRUE, clueweb09-en0010-01-22813,FALSE, clueweb09-en0002-10-16874,FALSE, clueweb09-en0002-09-20174,TRUE, nr-clueweb09-en0003-93-20891,TRUE, clueweb09-en0004-15-09814,FALSE, clueweb09-en0008-45-13203,TRUE, clueweb09-en0010-36-02706,FALSE, clueweb09-en0001-69-15327,FALSE, random-clueweb09-en0006-75-34429,FALSE, clueweb09-en0000-58-00858,TRUE, clueweb09-en0004-67-00113,FALSE, nr-clueweb09-en0003-55-04204,FALSE,4,1
308KJXFUKVMDKM0P5FCQ0X2U8HTTAQ,3U0SRXB7CILABAFG0WI1A8H02WNNR6,A2WPHVMLLEV5ZB,2021-07-21T09:46:21,WEDNESDAY,1.63E+12,1.63E+12,242,4.033333333,6.773,0, tablet, , Technology, clueweb09-enwp01-90-06052,FALSE, nr-clueweb09-en0004-76-20883,TRUE, clueweb09-en0000-51-08098,TRUE, clueweb09-en0011-71-39715,TRUE, random-clueweb09-en0005-85-21121,FALSE, clueweb09-en0009-34-30058,TRUE, clueweb09-en0003-23-24199,FALSE, clueweb09-enwp03-04-21802,FALSE, clueweb09-en0010-53-12517,TRUE, clueweb09-en0009-17-32429,FALSE, clueweb09-en0010-63-06191,FALSE, clueweb09-en0007-58-11818,TRUE, nr-clueweb09-en0009-57-01787,TRUE,5,2
3UZUVSO3QBBCX4RHCND0A2XTZOVEM5,3LOZAJ85YITYJKCZNCQ9720QSII2XR,AOTSBJGYMR4N8,2021-07-21T09:46:33,WEDNESDAY,1.63E+12,1.63E+12,47,0.783333333,24.083,0, bull moose party, , Politics, clueweb09-en0008-07-15233,FALSE, nr-clueweb09-en0000-75-01791,FALSE, clueweb09-en0005-77-03445,TRUE, clueweb09-en0008-68-27295,FALSE, clueweb09-en0005-55-29389,FALSE, clueweb09-en0005-96-36703,FALSE, clueweb09-en0009-07-28964,FALSE, random-clueweb09-en0008-25-06683,FALSE, clueweb09-enwp00-26-17037,TRUE, clueweb09-enwp01-78-17037,TRUE, clueweb09-en0000-75-01769,FALSE, clueweb09-en0000-71-09011,FALSE, nr-clueweb09-en0000-75-01785,FALSE,3,0
308KJXFUKVMDKM0P5FCQ0X2U8HTTAQ,3MAOD8E57VQU861S9VOTZQ3O3D8NX2,A38IPIPA3T3G4,2021-07-21T09:47:14,WEDNESDAY,1.63E+12,1.63E+12,130,2.166666667,82.249,0, intel cores, , Technology, random-clueweb09-en0008-13-05976,FALSE, clueweb09-en0008-18-01276,TRUE, clueweb09-enwp00-88-22740,TRUE, nr-clueweb09-en0003-84-28677,FALSE, clueweb09-en0007-15-36699,TRUE, clueweb09-enwp01-07-00252,FALSE, clueweb09-en0008-08-33296,TRUE, clueweb09-en0002-30-09147,TRUE, clueweb09-en0011-07-21000,FALSE, clueweb09-en0006-26-01629,TRUE, clueweb09-en0007-15-38517,FALSE, clueweb09-en0000-40-20686,FALSE, nr-clueweb09-en0011-82-27146,FALSE,6,0
