HITid,AssignmentId,WorkerId,Time,Minutes,Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,Num Relevant Selected,Num NR Selected
3OWZNK3RZP53FWKAS59LZB5YCF9U2P,3DR23U6WEAUJXJFVBMKDK0O8TO1ETG,ARQR5NIFA1AJ,105.0,1.75," denim jeans"," It would want to find denim jeans. Men denim athletic jeans with wide taper"," Shopping"," clueweb09-en0009-98-27022",false," clueweb09-en0005-11-26360",true," clueweb09-en0005-47-18107",false," clueweb09-en0002-32-17281",false," clueweb09-en0007-37-29073",true," clueweb09-en0000-78-04117",false," clueweb09-en0004-87-15291",true," nr-clueweb09-en0006-09-07313",false," clueweb09-en0002-88-33324",false," clueweb09-en0010-79-32951",false," clueweb09-en0006-09-14754",false," nr-clueweb09-en0007-00-40447",false,3,0
3OWZNK3RZP53FWKAS59LZB5YCF9U2P,3U5JL4WY5PP8MYRMRQ9X0HXNTVV4XJ,AOISRRTXB6VTA,103.0,1.7166666666666666," Fun crafts to do at home"," Descriptive documents with visuals that describe fun crafts to do at home"," Crafts &amp; Hobbies"," clueweb09-en0002-06-06109",true," nr-clueweb09-en0009-74-21574",false," clueweb09-en0005-47-22595",true," clueweb09-en0002-06-06121",true," clueweb09-en0011-36-41821",false," clueweb09-en0009-85-40466",true," clueweb09-en0002-95-10310",false," clueweb09-en0004-81-04491",false," clueweb09-en0004-81-04443",false," clueweb09-en0009-85-40482",true," clueweb09-en0001-35-28513",false," nr-clueweb09-en0002-06-06135",false,5,0
3OWZNK3RZP53FWKAS59LZB5YCF9U2P,3ZV9H2YQQIN8F23SH78SOTRA6T03WB,A26F3K30VFCT8C,118.0,1.9666666666666666," Yoga classes Hoboken"," This query is intending to find Yoga classes I can attend in Hoboken. Useful documents would have schedules, links to websites, or reviews of nearby Yoga studios."," Health &amp; Wellness"," nr-clueweb09-en0009-53-24528",false," clueweb09-en0008-60-14528",true," clueweb09-en0008-60-14526",true," clueweb09-en0001-25-28521",true," clueweb09-en0006-30-27819",true," clueweb09-en0006-30-27820",false," clueweb09-en0000-57-11441",true," clueweb09-en0007-31-14962",false," clueweb09-en0007-31-14974",false," clueweb09-en0002-65-21559",false," clueweb09-en0000-07-07847",false," nr-clueweb09-en0005-58-18753",false,5,0
3OWZNK3RZP53FWKAS59LZB5YCF9U2P,3A9AA95AT12L98TVJ4IQBWHYRSPP5T,A3UWHJTAUTF6TO,86.0,1.4333333333333333," best places to travel right now."," i intend to find the best places in the world to travel. ranked lists and reviews of specific places would be useful."," Travel"," clueweb09-en0005-73-21133",true," clueweb09-en0004-95-01941",false," nr-clueweb09-en0010-35-00239",false," clueweb09-en0004-95-02142",true," clueweb09-en0011-24-01258",true," clueweb09-en0000-93-21666",true," clueweb09-en0005-58-15364",false," clueweb09-en0005-73-20777",false," clueweb09-en0005-58-15341",false," clueweb09-en0002-82-12898",true," clueweb09-en0002-62-07701",false," nr-clueweb09-en0003-52-29725",true,5,1
3OWZNK3RZP53FWKAS59LZB5YCF9U2P,3LQ8PUHQFQ858FQM7BTFRWJCANMIHS,A3BMEVFSETVOUR,120.0,2.0," picasso paintings"," I want to see picasso paintings from his early years. I would compare those to his later works"," Arts"," clueweb09-enwp01-55-19379",true," clueweb09-en0010-36-02848",true," nr-clueweb09-en0005-25-35514",false," clueweb09-en0011-85-04919",false," clueweb09-en0011-85-04669",false," clueweb09-enwp01-48-19559",true," clueweb09-en0004-31-34881",true," clueweb09-en0005-63-13916",true," clueweb09-en0001-87-14565",true," clueweb09-en0001-87-01392",false," clueweb09-en0005-25-35501",false," nr-clueweb09-en0005-25-35513",false,6,0
3OWZNK3RZP53FWKAS59LZB5YCF9U2P,3TEM0PF1QADDP444HPLJU74IW1DD0K,A2BABL5AHUOYC7,353.0,5.883333333333334," Family relationships"," the most important part of this query"," Relationships"," clueweb09-en0002-77-28748",true," clueweb09-en0002-77-28772",false," clueweb09-en0002-92-08554",false," clueweb09-en0003-77-30392",true," clueweb09-en0008-83-28945",true," clueweb09-en0009-48-36750",false," clueweb09-en0009-48-36751",false," clueweb09-en0007-03-38258",true," nr-clueweb09-en0009-44-12289",false," clueweb09-en0007-03-38248",true," clueweb09-en0007-15-11744",false," nr-clueweb09-en0009-48-36706",true,5,1
3OWZNK3RZP53FWKAS59LZB5YCF9U2P,3FFJ6VRIL64UXFKQ93MUL4KVO6LI0R,A2BVS5FSVXG48A,176.0,2.933333333333333," what is the best NBA team?"," the query intends to discover the best NBA team with more fans"," Sports"," clueweb09-en0003-93-03211",true," clueweb09-en0002-66-12387",true," clueweb09-en0001-11-35049",false," clueweb09-en0000-98-13478",true," clueweb09-en0007-73-00175",true," clueweb09-en0008-16-16995",true," clueweb09-en0001-06-05554",true," clueweb09-en0003-86-30137",true," clueweb09-en0009-38-16953",true," nr-clueweb09-en0004-08-20886",true," clueweb09-en0002-83-21806",true," nr-clueweb09-en0011-98-19527",true,9,2
3OWZNK3RZP53FWKAS59LZB5YCF9U2P,3G5W44VEUCYIEELZN8W9JCMONR0GK4,A1L1S0IAPZB4MO,123.0,2.05," how to make meatballs"," recipes and tips"," Food &amp; Drink"," clueweb09-en0010-96-03588",false," clueweb09-en0007-58-03393",false," clueweb09-en0003-22-32494",true," clueweb09-en0007-58-01692",false," clueweb09-en0002-53-27234",false," clueweb09-en0007-95-14144",false," clueweb09-en0002-62-08598",false," clueweb09-en0008-21-32819",false," clueweb09-en0007-33-33088",false," nr-clueweb09-en0011-06-26790",false," clueweb09-en0008-52-42143",false," nr-clueweb09-en0011-06-26781",false,1,0
3OWZNK3RZP53FWKAS59LZB5YCF9U2P,3B2X28YI31VFOISZ5IAU8IQ96JOB6D,A2PD9SHVWNX7Q2,153.0,2.55," How to lose weight"," To find all the relevant information of what you can do to lose weight."," Health &amp; Wellness"," nr-clueweb09-en0003-03-33877",true," clueweb09-en0011-42-06049",true," clueweb09-en0005-33-33856",false," clueweb09-en0003-46-20196",true," clueweb09-en0001-55-25607",true," clueweb09-en0002-60-14921",false," clueweb09-en0008-49-25010",false," clueweb09-en0002-60-14920",false," clueweb09-en0005-23-08479",false," clueweb09-en0001-44-46791",false," clueweb09-en0009-45-26048",false," nr-clueweb09-en0003-03-33511",false,3,1
3OWZNK3RZP53FWKAS59LZB5YCF9U2P,3E1QT0TDFUPCF4PT47Z9EJQD74YI8F,A9OOV3976AFYF,634.0,10.566666666666666," Economic policy on taxes"," I would like to find new federal mandates regarding citizen taxes"," Politics"," clueweb09-en0002-76-08723",false," clueweb09-en0000-12-30448",false," clueweb09-en0004-20-28935",true," clueweb09-en0003-77-22469",false," clueweb09-en0003-79-28857",true," clueweb09-en0009-88-07314",true," clueweb09-en0009-56-01127",false," clueweb09-en0003-26-14406",false," clueweb09-en0003-26-14405",false," nr-clueweb09-en0002-88-25043",false," clueweb09-en0009-47-20171",false," nr-clueweb09-en0006-86-29522",false,3,0
34ZTTGSNK14F2TGBUHSNCEEBYDLHQP,3PS7W85Z84I22NOE3B4RSMNX2RP9T5,AT6LDQNLKTUSE,1126.0,18.766666666666666," How do I get a passport?"," A passport is essential for any international travel. I want to find out how to get one so I can travel outside my country."," Travel"," nr-clueweb09-en0008-27-15773",false," clueweb09-en0007-83-03874",false," clueweb09-en0003-69-14211",false," clueweb09-en0011-57-24002",true," clueweb09-en0005-94-03396",false," clueweb09-en0010-34-10788",true," clueweb09-en0004-17-04144",false," clueweb09-en0009-21-21841",false," clueweb09-en0003-22-32663",false," clueweb09-en0001-01-13289",false," clueweb09-en0011-46-29153",true," nr-clueweb09-en0009-20-09392",false,3,0
34ZTTGSNK14F2TGBUHSNCEEBYDLHQP,326O153BMNECGUJYPWKYFW6MQ2LDE4,A3T5UAYFKJBVTA,48.0,0.8," business analytics"," I intend to find an array of results surrounding business analytics and information technology."," Technology"," clueweb09-en0008-56-41342",false," nr-clueweb09-en0006-74-00720",false," clueweb09-en0008-56-41341",false," clueweb09-en0011-77-32326",false," clueweb09-enwp00-29-17994",false," clueweb09-enwp00-57-13086",false," clueweb09-en0000-70-21370",false," clueweb09-en0007-23-35769",false," clueweb09-en0011-77-32144",false," clueweb09-en0011-16-21168",false," clueweb09-en0005-89-05335",false," nr-clueweb09-en0010-75-20048",false,0,0
34ZTTGSNK14F2TGBUHSNCEEBYDLHQP,3U4J9857OJRYSI64OSFMEWQ51U5B79,AXXWTCAPW93Y3,78.0,1.3," cat losing voice"," I'd be looking for a page describing the symptom I searched for that lists possible causes, and advice about what to do to remedy the problem."," Pets"," clueweb09-enwp00-80-19027",false," clueweb09-en0002-38-25323",false," clueweb09-en0001-49-20363",false," clueweb09-en0005-10-30404",false," clueweb09-en0004-74-23154",false," clueweb09-en0004-83-00407",false," clueweb09-en0002-72-17338",false," clueweb09-en0001-49-19730",false," clueweb09-en0001-54-14630",false," nr-clueweb09-en0008-44-34386",false," clueweb09-en0004-18-30674",false," nr-clueweb09-en0001-93-23127",false,0,0
34ZTTGSNK14F2TGBUHSNCEEBYDLHQP,3TAYZSBPLQOQN3Q0T2KM8UJXU262SM,A3BMEVFSETVOUR,64.0,1.0666666666666667," rams score"," I want to find the St. Louis Rams scores for the 2009 season. Maybe some stats would be good too."," Sports"," clueweb09-en0011-36-01953",false," clueweb09-en0010-68-17274",false," nr-clueweb09-en0006-81-22119",false," clueweb09-en0002-61-23405",false," clueweb09-en0011-87-27159",false," clueweb09-en0005-47-04228",true," clueweb09-en0004-95-13318",false," clueweb09-en0005-70-22992",false," clueweb09-en0003-33-18978",false," clueweb09-en0000-51-10787",false," clueweb09-en0006-16-26245",false," nr-clueweb09-en0007-62-09031",false,1,0
34ZTTGSNK14F2TGBUHSNCEEBYDLHQP,3GNCZX450N3IFE5CE097J7XKJ6RPA0,A3UWHJTAUTF6TO,194.0,3.2333333333333334," chanel fashion show"," i intend to find the latest chanel fashion show information. videos would be especially useful."," Style"," clueweb09-en0011-55-10350",true," clueweb09-en0010-47-39544",false," clueweb09-en0011-38-01488",true," clueweb09-en0000-23-28734",false," clueweb09-en0006-30-32203",true," clueweb09-en0008-69-29086",true," clueweb09-en0002-94-16346",false," clueweb09-en0001-02-16082",false," clueweb09-en0006-69-16334",false," nr-clueweb09-en0011-67-25250",false," clueweb09-en0002-94-16338",false," nr-clueweb09-en0004-37-23712",false,4,0
34ZTTGSNK14F2TGBUHSNCEEBYDLHQP,3WETL7AQWYOE2JO8L6LJYTEXMWY53Y,A249LDVPG27XCE,558.0,9.3," requirements for California teaching certificate"," What is required to get a teaching job in California. The document would be from or refer to some official state website or department. The document would list the requirements or where to start meeting them. The document could possibly suggest exemptions or exceptions to the rule."," Education"," nr-clueweb09-en0009-22-20207",false," clueweb09-en0009-22-20003",false," clueweb09-en0006-51-19358",true," clueweb09-en0006-01-12701",true," clueweb09-en0011-20-24719",false," clueweb09-enwp00-53-05342",false," clueweb09-en0004-17-22329",false," clueweb09-en0000-19-29740",false," clueweb09-en0011-89-17575",false," clueweb09-en0008-57-09664",true," clueweb09-en0007-09-02846",false," nr-clueweb09-en0006-91-16501",false,3,0
34ZTTGSNK14F2TGBUHSNCEEBYDLHQP,3YWRV122CXFHOVKTYOONXMEO1ZJU8X,A3T9K2RY06UO14,180.0,3.0," bardo afterlife rebirth"," what is bardo? why is it important in religion? is it a good thing or bad? I heard the word and wanted to understand its connotations."," Spirituality"," clueweb09-en0010-54-34854",true," clueweb09-en0002-14-23750",true," clueweb09-en0001-14-33364",true," clueweb09-en0005-05-39506",true," clueweb09-en0009-77-38087",true," nr-clueweb09-en0007-75-12806",false," clueweb09-en0010-68-24424",true," clueweb09-en0011-74-27925",true," clueweb09-en0009-77-27003",true," clueweb09-en0006-52-18595",true," clueweb09-en0010-54-34851",true," nr-clueweb09-en0005-11-02005",false,10,0
34ZTTGSNK14F2TGBUHSNCEEBYDLHQP,3BWI6RSP7LPWZLIOYJHCF4WQ4RKE7E,A2PD9SHVWNX7Q2,149.0,2.4833333333333334," Places to visit in Dubai"," To view various tourist beautiful sceneries you can visit in Dubai."," Travel"," clueweb09-en0008-84-07191",true," clueweb09-en0006-51-08615",true," clueweb09-en0011-52-10952",true," clueweb09-en0005-23-13766",false," nr-clueweb09-en0004-95-01206",false," clueweb09-en0004-35-05348",false," clueweb09-en0007-50-24555",false," clueweb09-en0007-50-24593",false," clueweb09-en0006-12-19707",false," clueweb09-en0001-74-13075",false," clueweb09-en0001-30-11039",false," nr-clueweb09-en0006-95-36333",false,3,0
34ZTTGSNK14F2TGBUHSNCEEBYDLHQP,358UUM7WR4JL8PNTKP1CEBV9JGAR74,A2BVS5FSVXG48A,120.0,2.0," when was coke invented?"," period when coke first hit the world market"," Food &amp; Drink"," clueweb09-en0008-20-34333",true," clueweb09-en0000-25-22266",true," clueweb09-en0001-39-30544",false," clueweb09-en0001-36-26670",true," clueweb09-en0001-02-14336",true," nr-clueweb09-en0006-35-19269",false," clueweb09-en0001-13-21401",false," clueweb09-en0002-59-24171",true," clueweb09-enwp01-41-17248",true," clueweb09-enwp01-36-18748",false," clueweb09-en0000-77-14745",true," nr-clueweb09-en0000-72-04597",true,7,1
34ZTTGSNK14F2TGBUHSNCEEBYDLHQP,304SM51WA8KKBGQWCVDX9NM1O8KBSY,A1EM0NU4IIOSNL,491.0,8.183333333333334," Pets store near me"," Local and nearby pet stores where I could buy a dog"," Pets"," clueweb09-en0002-14-23397",false," clueweb09-en0002-14-22991",false," clueweb09-en0011-68-32510",false," clueweb09-en0002-07-17992",false," clueweb09-en0000-26-05145",false," clueweb09-en0000-68-29406",false," clueweb09-en0008-98-20333",false," clueweb09-en0006-94-28240",false," clueweb09-en0002-52-05851",false," nr-clueweb09-en0011-39-25214",true," clueweb09-en0011-40-16381",false," nr-clueweb09-en0011-39-25208",true,0,2
3FSEU3P2OVGS3O9E31THV8QMH8LRRX,308Q0PEVBDTCT9839Z5NEFLORA59IK,ARG392N6HWZCJ,69.0,1.15," Democrat party in the south"," I want to find out about democrat politics in the south.  I want to learn about how to revive it."," Politics"," clueweb09-enwp02-20-15726",false," nr-clueweb09-enwp01-64-18484",false," clueweb09-enwp01-80-16844",false," clueweb09-en0004-26-24041",true," clueweb09-en0008-87-16548",false," clueweb09-en0004-25-03529",false," clueweb09-en0004-20-00095",false," nr-clueweb09-enwp00-33-13517",false,null,false,null,false,null,false,null,false,1,0
3FSEU3P2OVGS3O9E31THV8QMH8LRRX,3PM8NZGV83WFB3EKPNGA3KYSPNKXQ1,A3UWHJTAUTF6TO,116.0,1.9333333333333333," modern home interior design"," I intend to find modern room designs. Pictures or layouts of modern design rooms would be useful."," Home"," clueweb09-en0004-12-24978",false," clueweb09-en0000-02-13271",true," nr-clueweb09-en0006-52-16589",true," clueweb09-en0000-02-13186",true," clueweb09-en0000-51-10134",true," clueweb09-en0000-99-00033",true," clueweb09-en0000-51-10324",true," clueweb09-en0010-24-33948",true," clueweb09-en0000-99-00041",true," clueweb09-en0009-01-08169",true," clueweb09-en0010-24-33962",true," nr-clueweb09-en0000-51-10077",true,9,2
3FSEU3P2OVGS3O9E31THV8QMH8LRRX,3907X2AHF5LTABA81LGSDPEM7IZ2P6,A26F3K30VFCT8C,117.0,1.95," Cheap Bucket Hats"," This query is intended to help the user find bucket hats at discounted price. Useful documents would include links to a website where the user car browse and or buy bucket hats."," Shopping"," clueweb09-en0002-68-16566",false," clueweb09-en0009-29-37932",false," clueweb09-en0001-99-24285",true," clueweb09-en0002-09-06259",false," nr-clueweb09-en0004-97-18950",true," clueweb09-en0007-13-30414",false," clueweb09-en0005-81-03411",false," clueweb09-en0007-18-09727",false," clueweb09-en0008-12-25436",false," clueweb09-en0004-46-17707",false," clueweb09-en0000-04-07252",false," nr-clueweb09-en0011-28-22169",false,1,1
3FSEU3P2OVGS3O9E31THV8QMH8LRRX,3IUZPWIU1TNEB0BZ2D0R5F8CHFOKW5,A3BMEVFSETVOUR,355.0,5.916666666666667," french bulldog supplements"," I want to see if my frenchie needs hip supplements. I want to know what is good for him to take"," Pets"," clueweb09-en0005-28-10995",true," clueweb09-en0001-95-25077",true," clueweb09-en0007-63-14654",true," clueweb09-en0003-62-14394",false," clueweb09-en0011-48-08048",false," clueweb09-en0002-90-06714",false," clueweb09-en0007-69-34898",true," clueweb09-en0001-48-16321",true," clueweb09-en0007-76-23044",true," nr-clueweb09-en0003-62-14368",false," clueweb09-en0007-24-24133",false," nr-clueweb09-en0001-18-23533",false,6,0
3FSEU3P2OVGS3O9E31THV8QMH8LRRX,3EA3QWIZ4NBVDOHH75A45FM0LHJIT4,A9HIMVROPHE3P,178.0,2.966666666666667," Best places to visit in Berlin"," Best spots to visit in the city of Berlin, such as, parks, restaurants, museums, and historical sites. Recommended hotels or lodging in the area. Recommended transportation around Berlin."," Travel"," clueweb09-en0003-10-24128",false," clueweb09-en0006-70-20293",false," clueweb09-en0004-47-05470",true," clueweb09-en0004-42-39736",true," clueweb09-en0000-18-05522",false," clueweb09-en0010-13-19410",true," nr-clueweb09-en0005-63-33615",false," clueweb09-en0009-85-03942",false," clueweb09-en0000-73-10094",false," clueweb09-en0002-19-32127",true," clueweb09-en0002-48-08145",false," nr-clueweb09-en0007-97-21892",false,4,0
3FSEU3P2OVGS3O9E31THV8QMH8LRRX,3A9AA95AT12L98TVJ4IQBWHYRSS5PC,A2BVS5FSVXG48A,181.0,3.0166666666666666," what is the biggest store in Charlotte NC?"," This query strives to give travelers a clue on where they can do their shopping while in Charlotte, NC."," Shopping"," nr-clueweb09-en0000-68-29860",true," clueweb09-en0005-01-29189",true," clueweb09-en0000-88-00030",true," clueweb09-en0004-56-28633",true," clueweb09-en0005-49-41111",true," clueweb09-en0004-12-16967",true," clueweb09-en0000-68-29187",true," clueweb09-en0000-68-29703",true," clueweb09-en0006-63-33223",true," clueweb09-en0005-76-18578",true," clueweb09-en0009-16-17472",true," nr-clueweb09-en0000-68-29851",true,10,2
3FSEU3P2OVGS3O9E31THV8QMH8LRRX,3A7Y0R2P2T4YPGA7UXW16JM6BSVJXZ,A1NCWY01WAAP2K,488.0,8.133333333333333," streaming media"," For several years I have been interested in the idea of providing multimedia content to consumers over the internet. I would like to see the "state of the art" at that time. I am primarily concerned with the technical obstacles to delivery of voice and video through the internet. With that information I will be able to see how problems were solved and how new problems were identified."," Technology"," clueweb09-en0011-43-15537",false," clueweb09-en0000-40-08719",true," nr-clueweb09-en0002-14-01919",false," clueweb09-en0004-17-14675",false," clueweb09-en0008-84-33748",false," clueweb09-en0007-22-05420",false," clueweb09-enwp01-25-16823",false," clueweb09-en0008-01-01452",true," clueweb09-en0001-06-27880",true," clueweb09-en0006-23-06102",false," clueweb09-enwp01-89-05959",false," nr-clueweb09-en0001-29-18598",false,3,0
3FSEU3P2OVGS3O9E31THV8QMH8LRRX,3RKNTXVS3REWQLJTGGHJG9MPSAXA4W,A9OOV3976AFYF,499.0,8.316666666666666," most nutritious dog food"," I would like to find a comparison of dog food products in terms of nutrition."," Pets"," clueweb09-en0011-00-17337",false," clueweb09-en0006-04-20167",true," clueweb09-en0006-52-17139",true," nr-clueweb09-en0004-05-34151",true," clueweb09-en0004-62-22745",true," clueweb09-en0005-55-18717",false," clueweb09-en0005-27-35796",false," clueweb09-en0010-43-24848",true," clueweb09-en0006-04-20077",false," clueweb09-en0006-04-20054",false," clueweb09-en0005-27-35769",false," nr-clueweb09-en0008-67-12469",false,4,1
3FSEU3P2OVGS3O9E31THV8QMH8LRRX,3UN61F00H156LL9AWWMFGRHDSAG5R4,A19FEZUCRLSLSX,416.0,6.933333333333334," US Economy"," Why is US economy biggest in the world. How much has the economy grown over the years. What is US GDP growth rate? How much debt is on an average American citizen."," Economy &amp; Finance"," clueweb09-en0003-89-27629",true," clueweb09-en0004-89-00091",true," clueweb09-en0007-94-26995",false," clueweb09-en0007-94-27000",false," clueweb09-en0006-52-22791",false," clueweb09-en0006-60-36683",false," clueweb09-en0005-23-10138",false," clueweb09-en0002-10-02630",false," clueweb09-en0009-78-18049",false," nr-clueweb09-en0006-60-07225",false," clueweb09-en0008-25-07912",false," nr-clueweb09-en0007-94-26997",false,2,0
